ICD-10-CM Codes,Description,Tags
S22048A,"Other fracture of fourth thoracic vertebra, initial encounter for closed fracture",
S22048B,"Other fracture of fourth thoracic vertebra, initial encounter for open fracture",
S22049A,"Unspecified fracture of fourth thoracic vertebra, initial encounter for closed fracture",
S22049B,"Unspecified fracture of fourth thoracic vertebra, initial encounter for open fracture",
S22050A,"Wedge compression fracture of T5-T6 vertebra, initial encounter for closed fracture",
S22050B,"Wedge compression fracture of T5-T6 vertebra, initial encounter for open fracture",
S22051A,"Stable burst fracture of T5-T6 vertebra, initial encounter for closed fracture",
S22051B,"Stable burst fracture of T5-T6 vertebra, initial encounter for open fracture",
S22052A,"Unstable burst fracture of T5-T6 vertebra, initial encounter for closed fracture",
S22052B,"Unstable burst fracture of T5-T6 vertebra, initial encounter for open fracture",
S22058A,"Other fracture of T5-T6 vertebra, initial encounter for closed fracture",
S22058B,"Other fracture of T5-T6 vertebra, initial encounter for open fracture",
S22059A,"Unspecified fracture of T5-T6 vertebra, initial encounter for closed fracture",
S22059B,"Unspecified fracture of T5-T6 vertebra, initial encounter for open fracture",
S22060A,"Wedge compression fracture of T7-T8 vertebra, initial encounter for closed fracture",
S22060B,"Wedge compression fracture of T7-T8 vertebra, initial encounter for open fracture",
S22061A,"Stable burst fracture of T7-T8 vertebra, initial encounter for closed fracture",
S22061B,"Stable burst fracture of T7-T8 vertebra, initial encounter for open fracture",
S22062A,"Unstable burst fracture of T7-T8 vertebra, initial encounter for closed fracture",
S22062B,"Unstable burst fracture of T7-T8 vertebra, initial encounter for open fracture",
S22068A,"Other fracture of T7-T8 thoracic vertebra, initial encounter for closed fracture",
S22068B,"Other fracture of T7-T8 thoracic vertebra, initial encounter for open fracture",
S22069A,"Unspecified fracture of T7-T8 vertebra, initial encounter for closed fracture",
S22069B,"Unspecified fracture of T7-T8 vertebra, initial encounter for open fracture",
S22070A,"Wedge compression fracture of T9-T10 vertebra, initial encounter for closed fracture",
S22070B,"Wedge compression fracture of T9-T10 vertebra, initial encounter for open fracture",
S22071A,"Stable burst fracture of T9-T10 vertebra, initial encounter for closed fracture",
S22071B,"Stable burst fracture of T9-T10 vertebra, initial encounter for open fracture",
S22072A,"Unstable burst fracture of T9-T10 vertebra, initial encounter for closed fracture",
S22072B,"Unstable burst fracture of T9-T10 vertebra, initial encounter for open fracture",
S22078A,"Other fracture of T9-T10 vertebra, initial encounter for closed fracture",
S22078B,"Other fracture of T9-T10 vertebra, initial encounter for open fracture",
S22079A,"Unspecified fracture of T9-T10 vertebra, initial encounter for closed fracture",
S22079B,"Unspecified fracture of T9-T10 vertebra, initial encounter for open fracture",
S22080A,"Wedge compression fracture of T11-T12 vertebra, initial encounter for closed fracture",
S22080B,"Wedge compression fracture of T11-T12 vertebra, initial encounter for open fracture",
S22081A,"Stable burst fracture of T11-T12 vertebra, initial encounter for closed fracture",
S22081B,"Stable burst fracture of T11-T12 vertebra, initial encounter for open fracture",
S22082A,"Unstable burst fracture of T11-T12 vertebra, initial encounter for closed fracture",
S22082B,"Unstable burst fracture of T11-T12 vertebra, initial encounter for open fracture",
S22088A,"Other fracture of T11-T12 vertebra, initial encounter for closed fracture",
S22088B,"Other fracture of T11-T12 vertebra, initial encounter for open fracture",
S22089A,"Unspecified fracture of T11-T12 vertebra, initial encounter for closed fracture",
S22089B,"Unspecified fracture of T11-T12 vertebra, initial encounter for open fracture",
S240XXA,"Concussion and edema of thoracic spinal cord, initial encounter",
S240XXD,"Concussion and edema of thoracic spinal cord, subsequent encounter",
S24101A,"Unspecified injury at T1 level of thoracic spinal cord, initial encounter",
S24101D,"Unspecified injury at T1 level of thoracic spinal cord, subsequent encounter",
S24102A,"Unspecified injury at T2-T6 level of thoracic spinal cord, initial encounter",
S24102D,"Unspecified injury at T2-T6 level of thoracic spinal cord, subsequent encounter",
S24103A,"Unspecified injury at T7-T10 level of thoracic spinal cord, initial encounter",
S24103D,"Unspecified injury at T7-T10 level of thoracic spinal cord, subsequent encounter",
S24104A,"Unspecified injury at T11-T12 level of thoracic spinal cord, initial encounter",
S24104D,"Unspecified injury at T11-T12 level of thoracic spinal cord, subsequent encounter",
S24109A,"Unspecified injury at unspecified level of thoracic spinal cord, initial encounter",
S24109D,"Unspecified injury at unspecified level of thoracic spinal cord, subsequent encounter",
S24111A,"Complete lesion at T1 level of thoracic spinal cord, initial encounter",
S24111D,"Complete lesion at T1 level of thoracic spinal cord, subsequent encounter",
S24111S,"Complete lesion at T1 level of thoracic spinal cord, sequela",
S24112A,"Complete lesion at T2-T6 level of thoracic spinal cord, initial encounter",
S24112D,"Complete lesion at T2-T6 level of thoracic spinal cord, subsequent encounter",
S24112S,"Complete lesion at T2-T6 level of thoracic spinal cord, sequela",
S24113A,"Complete lesion at T7-T10 level of thoracic spinal cord, initial encounter",
S24113D,"Complete lesion at T7-T10 level of thoracic spinal cord, subsequent encounter",
S24113S,"Complete lesion at T7-T10 level of thoracic spinal cord, sequela",
S24114A,"Complete lesion at T11-T12 level of thoracic spinal cord, initial encounter",
S24114D,"Complete lesion at T11-T12 level of thoracic spinal cord, subsequent encounter",
S24114S,"Complete lesion at T11-T12 level of thoracic spinal cord, sequela",
S24119A,"Complete lesion at unspecified level of thoracic spinal cord, initial encounter",
S24119D,"Complete lesion at unspecified level of thoracic spinal cord, subsequent encounter",
S24119S,"Complete lesion at unspecified level of thoracic spinal cord, sequela",
S24131A,"Anterior cord syndrome at T1 level of thoracic spinal cord, initial encounter",
S24131D,"Anterior cord syndrome at T1 level of thoracic spinal cord, subsequent encounter",
S24132A,"Anterior cord syndrome at T2-T6 level of thoracic spinal cord, initial encounter",
S24132D,"Anterior cord syndrome at T2-T6 level of thoracic spinal cord, subsequent encounter",
S24133A,"Anterior cord syndrome at T7-T10 level of thoracic spinal cord, initial encounter",
S24133D,"Anterior cord syndrome at T7-T10 level of thoracic spinal cord, subsequent encounter",
S24134A,"Anterior cord syndrome at T11-T12 level of thoracic spinal cord, initial encounter",
S24134D,"Anterior cord syndrome at T11-T12 level of thoracic spinal cord, subsequent encounter",
S24139A,"Anterior cord syndrome at unspecified level of thoracic spinal cord, initial encounter",
S24139D,"Anterior cord syndrome at unspecified level of thoracic spinal cord, subsequent encounter",
S24141A,"Brown-Sequard syndrome at T1 level of thoracic spinal cord, initial encounter",
S24141D,"Brown-Sequard syndrome at T1 level of thoracic spinal cord, subsequent encounter",
S24142A,"Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, initial encounter",
S24142D,"Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, subsequent encounter",
S24143A,"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, initial encounter",
S24143D,"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, subsequent encounter",
S24144A,"Brown-Sequard syndrome at T11-T12 level of thoracic spinal cord, initial encounter",
S24144D,"Brown-Sequard syndrome at T11-T12 level of thoracic spinal cord, subsequent encounter",
S24149A,"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, initial encounter",
S24149D,"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, subsequent encounter",
S24151A,"Other incomplete lesion at T1 level of thoracic spinal cord, initial encounter",
S24151D,"Other incomplete lesion at T1 level of thoracic spinal cord, subsequent encounter",
S24152A,"Other incomplete lesion at T2-T6 level of thoracic spinal cord, initial encounter",
S24152D,"Other incomplete lesion at T2-T6 level of thoracic spinal cord, subsequent encounter",
S24153A,"Other incomplete lesion at T7-T10 level of thoracic spinal cord, initial encounter",
S24153D,"Other incomplete lesion at T7-T10 level of thoracic spinal cord, subsequent encounter",
S24154A,"Other incomplete lesion at T11-T12 level of thoracic spinal cord, initial encounter",
S24154D,"Other incomplete lesion at T11-T12 level of thoracic spinal cord, subsequent encounter",
S24159A,"Other incomplete lesion at unspecified level of thoracic spinal cord, initial encounter",
S24159D,"Other incomplete lesion at unspecified level of thoracic spinal cord, subsequent encounter",
S32000A,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for closed fracture",
S32000B,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for open fracture",
S32001A,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",
S32001B,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",
S32002A,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",
S32002B,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",
S32008A,"Other fracture of unspecified lumbar vertebra, initial encounter for closed fracture",
S32008B,"Other fracture of unspecified lumbar vertebra, initial encounter for open fracture",
S32009A,"Unspecified fracture of unspecified lumbar vertebra, initial encounter for closed fracture",
S32009B,"Unspecified fracture of unspecified lumbar vertebra, initial encounter for open fracture",
S32010A,"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture",
S32010B,"Wedge compression fracture of first lumbar vertebra, initial encounter for open fracture",
S32011A,"Stable burst fracture of first lumbar vertebra, initial encounter for closed fracture",
S32011B,"Stable burst fracture of first lumbar vertebra, initial encounter for open fracture",
S32012A,"Unstable burst fracture of first lumbar vertebra, initial encounter for closed fracture",
S32012B,"Unstable burst fracture of first lumbar vertebra, initial encounter for open fracture",
S32018A,"Other fracture of first lumbar vertebra, initial encounter for closed fracture",
S32018B,"Other fracture of first lumbar vertebra, initial encounter for open fracture",
S32019A,"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture",
S32019B,"Unspecified fracture of first lumbar vertebra, initial encounter for open fracture",
S32020A,"Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture",
S32020B,"Wedge compression fracture of second lumbar vertebra, initial encounter for open fracture",
S32021A,"Stable burst fracture of second lumbar vertebra, initial encounter for closed fracture",
S32021B,"Stable burst fracture of second lumbar vertebra, initial encounter for open fracture",
S32022A,"Unstable burst fracture of second lumbar vertebra, initial encounter for closed fracture",
S32022B,"Unstable burst fracture of second lumbar vertebra, initial encounter for open fracture",
S32028A,"Other fracture of second lumbar vertebra, initial encounter for closed fracture",
S32028B,"Other fracture of second lumbar vertebra, initial encounter for open fracture",
S32029A,"Unspecified fracture of second lumbar vertebra, initial encounter for closed fracture",
S32029B,"Unspecified fracture of second lumbar vertebra, initial encounter for open fracture",
S32030A,"Wedge compression fracture of third lumbar vertebra, initial encounter for closed fracture",
S32030B,"Wedge compression fracture of third lumbar vertebra, initial encounter for open fracture",
S32031A,"Stable burst fracture of third lumbar vertebra, initial encounter for closed fracture",
S32031B,"Stable burst fracture of third lumbar vertebra, initial encounter for open fracture",
S32032A,"Unstable burst fracture of third lumbar vertebra, initial encounter for closed fracture",
S32032B,"Unstable burst fracture of third lumbar vertebra, initial encounter for open fracture",
S32038A,"Other fracture of third lumbar vertebra, initial encounter for closed fracture",
S32038B,"Other fracture of third lumbar vertebra, initial encounter for open fracture",
S32039A,"Unspecified fracture of third lumbar vertebra, initial encounter for closed fracture",
S32039B,"Unspecified fracture of third lumbar vertebra, initial encounter for open fracture",
S32040A,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture",
S32040B,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for open fracture",
S32041A,"Stable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",
S32041B,"Stable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",
S32042A,"Unstable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",
S32042B,"Unstable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",
S32048A,"Other fracture of fourth lumbar vertebra, initial encounter for closed fracture",
S32048B,"Other fracture of fourth lumbar vertebra, initial encounter for open fracture",
S32049A,"Unspecified fracture of fourth lumbar vertebra, initial encounter for closed fracture",
S32049B,"Unspecified fracture of fourth lumbar vertebra, initial encounter for open fracture",
S32050A,"Wedge compression fracture of fifth lumbar vertebra, initial encounter for closed fracture",
S32050B,"Wedge compression fracture of fifth lumbar vertebra, initial encounter for open fracture",
S32051A,"Stable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",
S32051B,"Stable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",
S32052A,"Unstable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",
S32052B,"Unstable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",
S32058A,"Other fracture of fifth lumbar vertebra, initial encounter for closed fracture",
S32058B,"Other fracture of fifth lumbar vertebra, initial encounter for open fracture",
S32059A,"Unspecified fracture of fifth lumbar vertebra, initial encounter for closed fracture",
S32059B,"Unspecified fracture of fifth lumbar vertebra, initial encounter for open fracture",
S3210XA,"Unspecified fracture of sacrum, initial encounter for closed fracture",
S3210XB,"Unspecified fracture of sacrum, initial encounter for open fracture",
S32110A,"Nondisplaced Zone I fracture of sacrum, initial encounter for closed fracture",
S32110B,"Nondisplaced Zone I fracture of sacrum, initial encounter for open fracture",
S32111A,"Minimally displaced Zone I fracture of sacrum, initial encounter for closed fracture",
S32111B,"Minimally displaced Zone I fracture of sacrum, initial encounter for open fracture",
S32112A,"Severely displaced Zone I fracture of sacrum, initial encounter for closed fracture",
S32112B,"Severely displaced Zone I fracture of sacrum, initial encounter for open fracture",
S32119A,"Unspecified Zone I fracture of sacrum, initial encounter for closed fracture",
S32119B,"Unspecified Zone I fracture of sacrum, initial encounter for open fracture",
S32120A,"Nondisplaced Zone II fracture of sacrum, initial encounter for closed fracture",
S32120B,"Nondisplaced Zone II fracture of sacrum, initial encounter for open fracture",
S32121A,"Minimally displaced Zone II fracture of sacrum, initial encounter for closed fracture",
S32121B,"Minimally displaced Zone II fracture of sacrum, initial encounter for open fracture",
S32122A,"Severely displaced Zone II fracture of sacrum, initial encounter for closed fracture",
S32122B,"Severely displaced Zone II fracture of sacrum, initial encounter for open fracture",
S32129A,"Unspecified Zone II fracture of sacrum, initial encounter for closed fracture",
S32129B,"Unspecified Zone II fracture of sacrum, initial encounter for open fracture",
S32130A,"Nondisplaced Zone III fracture of sacrum, initial encounter for closed fracture",
S32130B,"Nondisplaced Zone III fracture of sacrum, initial encounter for open fracture",
S32131A,"Minimally displaced Zone III fracture of sacrum, initial encounter for closed fracture",
S32131B,"Minimally displaced Zone III fracture of sacrum, initial encounter for open fracture",
S32132A,"Severely displaced Zone III fracture of sacrum, initial encounter for closed fracture",
S32132B,"Severely displaced Zone III fracture of sacrum, initial encounter for open fracture",
S32139A,"Unspecified Zone III fracture of sacrum, initial encounter for closed fracture",
S32139B,"Unspecified Zone III fracture of sacrum, initial encounter for open fracture",
S3214XA,"Type 1 fracture of sacrum, initial encounter for closed fracture",
S3214XB,"Type 1 fracture of sacrum, initial encounter for open fracture",
S3215XA,"Type 2 fracture of sacrum, initial encounter for closed fracture",
S3215XB,"Type 2 fracture of sacrum, initial encounter for open fracture",
S3216XA,"Type 3 fracture of sacrum, initial encounter for closed fracture",
S3216XB,"Type 3 fracture of sacrum, initial encounter for open fracture",
S3217XA,"Type 4 fracture of sacrum, initial encounter for closed fracture",
S3217XB,"Type 4 fracture of sacrum, initial encounter for open fracture",
S3219XA,"Other fracture of sacrum, initial encounter for closed fracture",
S3219XB,"Other fracture of sacrum, initial encounter for open fracture",
S322XXA,"Fracture of coccyx, initial encounter for closed fracture",
S322XXB,"Fracture of coccyx, initial encounter for open fracture",
S32301A,"Unspecified fracture of right ilium, initial encounter for closed fracture",
S32301B,"Unspecified fracture of right ilium, initial encounter for open fracture",
S32302A,"Unspecified fracture of left ilium, initial encounter for closed fracture",
S32302B,"Unspecified fracture of left ilium, initial encounter for open fracture",
S32309A,"Unspecified fracture of unspecified ilium, initial encounter for closed fracture",
S32309B,"Unspecified fracture of unspecified ilium, initial encounter for open fracture",
S32311A,"Displaced avulsion fracture of right ilium, initial encounter for closed fracture",
S32311B,"Displaced avulsion fracture of right ilium, initial encounter for open fracture",
S32312A,"Displaced avulsion fracture of left ilium, initial encounter for closed fracture",
S32312B,"Displaced avulsion fracture of left ilium, initial encounter for open fracture",
S32313A,"Displaced avulsion fracture of unspecified ilium, initial encounter for closed fracture",
S32313B,"Displaced avulsion fracture of unspecified ilium, initial encounter for open fracture",
S32314A,"Nondisplaced avulsion fracture of right ilium, initial encounter for closed fracture",
S32314B,"Nondisplaced avulsion fracture of right ilium, initial encounter for open fracture",
S32315A,"Nondisplaced avulsion fracture of left ilium, initial encounter for closed fracture",
S32315B,"Nondisplaced avulsion fracture of left ilium, initial encounter for open fracture",
S32316A,"Nondisplaced avulsion fracture of unspecified ilium, initial encounter for closed fracture",
S32316B,"Nondisplaced avulsion fracture of unspecified ilium, initial encounter for open fracture",
S32391A,"Other fracture of right ilium, initial encounter for closed fracture",
S32391B,"Other fracture of right ilium, initial encounter for open fracture",
S32392A,"Other fracture of left ilium, initial encounter for closed fracture",
S32392B,"Other fracture of left ilium, initial encounter for open fracture",
S32399A,"Other fracture of unspecified ilium, initial encounter for closed fracture",
S32399B,"Other fracture of unspecified ilium, initial encounter for open fracture",
S32401A,"Unspecified fracture of right acetabulum, initial encounter for closed fracture",
S32401B,"Unspecified fracture of right acetabulum, initial encounter for open fracture",
S32402A,"Unspecified fracture of left acetabulum, initial encounter for closed fracture",
S32402B,"Unspecified fracture of left acetabulum, initial encounter for open fracture",
S32409A,"Unspecified fracture of unspecified acetabulum, initial encounter for closed fracture",
S32409B,"Unspecified fracture of unspecified acetabulum, initial encounter for open fracture",
S32411A,"Displaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",
S32411B,"Displaced fracture of anterior wall of right acetabulum, initial encounter for open fracture",
S32412A,"Displaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",
S32412B,"Displaced fracture of anterior wall of left acetabulum, initial encounter for open fracture",
S32413A,"Displaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",
S32413B,"Displaced fracture of anterior wall of unspecified acetabulum, initial encounter for open fracture",
S32414A,"Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",
S32414B,"Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for open fracture",
S32415A,"Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",
S32415B,"Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for open fracture",
S32416A,"Nondisplaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",
S32416B,"Nondisplaced fracture of anterior wall of unspecified acetabulum, initial encounter for open fracture",
S32421A,"Displaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",
S32421B,"Displaced fracture of posterior wall of right acetabulum, initial encounter for open fracture",
S32422A,"Displaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",
S32422B,"Displaced fracture of posterior wall of left acetabulum, initial encounter for open fracture",
S32423A,"Displaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",
S32423B,"Displaced fracture of posterior wall of unspecified acetabulum, initial encounter for open fracture",
S32424A,"Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",
S32424B,"Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for open fracture",
S32425A,"Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",
S32425B,"Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for open fracture",
S32426A,"Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",
S32426B,"Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for open fracture",
S32431A,"Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture",
S32431B,"Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture",
S32432A,"Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture",
S32432B,"Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture",
S32433A,"Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture",
S32433B,"Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture",
S32434A,"Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture",
S32434B,"Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture",
S32435A,"Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture",
S32435B,"Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture",
S32436A,"Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture",
S32436B,"Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture",
S32441A,"Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture",
S32441B,"Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture",
S32442A,"Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture",
S32442B,"Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture",
S32443A,"Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture",
S32443B,"Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture",
S32444A,"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture",
S32444B,"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture",
S32445A,"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture",
S32445B,"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture",
S32446A,"Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture",
S32446B,"Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture",
S32451A,"Displaced transverse fracture of right acetabulum, initial encounter for closed fracture",
S32451B,"Displaced transverse fracture of right acetabulum, initial encounter for open fracture",
S32452A,"Displaced transverse fracture of left acetabulum, initial encounter for closed fracture",
S32452B,"Displaced transverse fracture of left acetabulum, initial encounter for open fracture",
S32453A,"Displaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture",
S32453B,"Displaced transverse fracture of unspecified acetabulum, initial encounter for open fracture",
S32454A,"Nondisplaced transverse fracture of right acetabulum, initial encounter for closed fracture",
S32454B,"Nondisplaced transverse fracture of right acetabulum, initial encounter for open fracture",
S32455A,"Nondisplaced transverse fracture of left acetabulum, initial encounter for closed fracture",
S32455B,"Nondisplaced transverse fracture of left acetabulum, initial encounter for open fracture",
S32456A,"Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture",
S32456B,"Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for open fracture",
S32461A,"Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture",
S32461B,"Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture",
S32462A,"Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture",
S32462B,"Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture",
S32463A,"Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture",
S32463B,"Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture",
S32464A,"Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture",
S32464B,"Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture",
S32465A,"Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture",
S32465B,"Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture",
S32466A,"Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture",
S32466B,"Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture",
S32471A,"Displaced fracture of medial wall of right acetabulum, initial encounter for closed fracture",
S32471B,"Displaced fracture of medial wall of right acetabulum, initial encounter for open fracture",
S32472A,"Displaced fracture of medial wall of left acetabulum, initial encounter for closed fracture",
S32472B,"Displaced fracture of medial wall of left acetabulum, initial encounter for open fracture",
S32473A,"Displaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture",
S32473B,"Displaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture",
S32474A,"Nondisplaced fracture of medial wall of right acetabulum, initial encounter for closed fracture",
S32474B,"Nondisplaced fracture of medial wall of right acetabulum, initial encounter for open fracture",
S32475A,"Nondisplaced fracture of medial wall of left acetabulum, initial encounter for closed fracture",
S32475B,"Nondisplaced fracture of medial wall of left acetabulum, initial encounter for open fracture",
S32476A,"Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture",
S32476B,"Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture",
S32481A,"Displaced dome fracture of right acetabulum, initial encounter for closed fracture",
S32481B,"Displaced dome fracture of right acetabulum, initial encounter for open fracture",
S32482A,"Displaced dome fracture of left acetabulum, initial encounter for closed fracture",
S32482B,"Displaced dome fracture of left acetabulum, initial encounter for open fracture",
S32483A,"Displaced dome fracture of unspecified acetabulum, initial encounter for closed fracture",
S32483B,"Displaced dome fracture of unspecified acetabulum, initial encounter for open fracture",
S32484A,"Nondisplaced dome fracture of right acetabulum, initial encounter for closed fracture",
S32484B,"Nondisplaced dome fracture of right acetabulum, initial encounter for open fracture",
S32485A,"Nondisplaced dome fracture of left acetabulum, initial encounter for closed fracture",
S32485B,"Nondisplaced dome fracture of left acetabulum, initial encounter for open fracture",
S32486A,"Nondisplaced dome fracture of unspecified acetabulum, initial encounter for closed fracture",
S32486B,"Nondisplaced dome fracture of unspecified acetabulum, initial encounter for open fracture",
S32491A,"Other specified fracture of right acetabulum, initial encounter for closed fracture",
S32491B,"Other specified fracture of right acetabulum, initial encounter for open fracture",
S32492A,"Other specified fracture of left acetabulum, initial encounter for closed fracture",
S32492B,"Other specified fracture of left acetabulum, initial encounter for open fracture",
S32499A,"Other specified fracture of unspecified acetabulum, initial encounter for closed fracture",
S32499B,"Other specified fracture of unspecified acetabulum, initial encounter for open fracture",
S32501A,"Unspecified fracture of right pubis, initial encounter for closed fracture",
S32501B,"Unspecified fracture of right pubis, initial encounter for open fracture",
S32502A,"Unspecified fracture of left pubis, initial encounter for closed fracture",
S32502B,"Unspecified fracture of left pubis, initial encounter for open fracture",
S32509A,"Unspecified fracture of unspecified pubis, initial encounter for closed fracture",
S32509B,"Unspecified fracture of unspecified pubis, initial encounter for open fracture",
S32511A,"Fracture of superior rim of right pubis, initial encounter for closed fracture",
S32511B,"Fracture of superior rim of right pubis, initial encounter for open fracture",
S32512A,"Fracture of superior rim of left pubis, initial encounter for closed fracture",
S32512B,"Fracture of superior rim of left pubis, initial encounter for open fracture",
S32519A,"Fracture of superior rim of unspecified pubis, initial encounter for closed fracture",
S32519B,"Fracture of superior rim of unspecified pubis, initial encounter for open fracture",
S32591A,"Other specified fracture of right pubis, initial encounter for closed fracture",
S32591B,"Other specified fracture of right pubis, initial encounter for open fracture",
S32592A,"Other specified fracture of left pubis, initial encounter for closed fracture",
S32592B,"Other specified fracture of left pubis, initial encounter for open fracture",
S32599A,"Other specified fracture of unspecified pubis, initial encounter for closed fracture",
S32599B,"Other specified fracture of unspecified pubis, initial encounter for open fracture",
S32601A,"Unspecified fracture of right ischium, initial encounter for closed fracture",
S32601B,"Unspecified fracture of right ischium, initial encounter for open fracture",
S32602A,"Unspecified fracture of left ischium, initial encounter for closed fracture",
S32602B,"Unspecified fracture of left ischium, initial encounter for open fracture",
S32609A,"Unspecified fracture of unspecified ischium, initial encounter for closed fracture",
S32609B,"Unspecified fracture of unspecified ischium, initial encounter for open fracture",
S32611A,"Displaced avulsion fracture of right ischium, initial encounter for closed fracture",
S32611B,"Displaced avulsion fracture of right ischium, initial encounter for open fracture",
S32612A,"Displaced avulsion fracture of left ischium, initial encounter for closed fracture",
S32612B,"Displaced avulsion fracture of left ischium, initial encounter for open fracture",
